iter	Logloss
0	0.6737293085
1	0.6554796575
2	0.6423194526
3	0.6274521424
4	0.6148145859
5	0.6044446397
6	0.594896603
7	0.5855605136
8	0.5787545942
9	0.5731003777
10	0.56701087
11	0.5599078783
12	0.5542164496
13	0.5487705346
14	0.5433504011
15	0.5382133306
16	0.5338969847
17	0.5299527258
18	0.5263921993
19	0.5233850166
20	0.5217023747
21	0.5189923721
22	0.5171121376
23	0.5154839853
24	0.5125220818
25	0.5100559485
26	0.5075440982
27	0.5057111186
28	0.5038307357
29	0.5028596731
30	0.5011267066
31	0.5001087607
32	0.4984984308
33	0.4973902535
34	0.4961591452
35	0.4947364583
36	0.4939065952
37	0.4926111318
38	0.4921543693
39	0.4914086023
40	0.4906503594
41	0.4896829705
42	0.4887287286
43	0.4876578323
44	0.4866061784
45	0.4859618321
46	0.4847126672
47	0.484342948
48	0.4836350629
49	0.4826256616
50	0.4820894973
51	0.4812232539
52	0.4805739952
53	0.4797955682
54	0.4791951004
55	0.4782329408
56	0.4772940813
57	0.4766978366
58	0.4766268622
59	0.476440639
60	0.4757259024
61	0.4749292432
62	0.4741084852
63	0.4735317313
64	0.4730527256
65	0.4726280314
66	0.4720353678
67	0.4718497581
68	0.4712868686
69	0.4705674237
70	0.4703493668
71	0.4697818798
72	0.4695803086
73	0.4692571283
74	0.4686638928
75	0.4685627032
76	0.4683529726
77	0.4682792246
78	0.4678310524
79	0.4675163438
80	0.4672781679
81	0.4668841057
82	0.4666829736
83	0.4666192764
84	0.4663161265
85	0.4660970104
86	0.4660792059
87	0.465591002
88	0.4654473504
89	0.4650268936
90	0.4648211619
91	0.4645540256
92	0.4645282172
93	0.4642371777
94	0.4642371574
95	0.4640993194
96	0.4636581838
97	0.4634458093
98	0.4633617359
99	0.4632725405
100	0.4630301378
101	0.4628508847
102	0.4622916491
103	0.4620008561
104	0.4619281027
105	0.4617160108
106	0.4617154651
107	0.461582404
108	0.4615823948
109	0.4615597123
110	0.4613815276
111	0.460831959
112	0.4607188689
113	0.4605058518
114	0.4604172146
115	0.460359786
116	0.4603596555
117	0.4602184145
118	0.4597746586
119	0.4594464407
120	0.4591963595
121	0.4590224024
122	0.4587189454
123	0.4582633458
124	0.4580253913
125	0.4579330212
126	0.4575535778
127	0.4575247234
128	0.4573880819
129	0.4572297562
130	0.4572297421
131	0.4571122222
132	0.4569673891
