iter	Passed	Remaining
0	190	190607
1	223	111471
2	248	82441
3	278	69353
4	311	62000
5	341	56647
6	371	52711
7	405	50275
8	434	47893
9	452	44759
10	483	43498
11	514	42386
12	548	41627
13	578	40720
14	609	40013
15	639	39318
16	670	38776
17	701	38280
18	732	37821
19	763	37408
20	794	37056
21	827	36764
22	849	36068
23	880	35823
24	921	35928
25	960	35965
26	995	35874
27	1032	35851
28	1110	37194
29	1152	37257
30	1183	36995
31	1209	36584
32	1248	36592
33	1296	36842
34	1336	36848
35	1367	36619
36	1398	36411
37	1431	36245
38	1457	35909
39	1485	35651
40	1518	35523
41	1551	35385
42	1582	35227
43	1614	35074
44	1646	34945
45	1678	34813
46	1712	34717
47	1733	34384
48	1764	34241
49	1795	34119
50	1827	33999
51	1858	33885
52	1889	33760
53	1918	33617
54	1952	33544
55	1984	33456
56	2014	33332
57	2048	33266
58	2060	32869
59	2079	32573
60	2112	32523
61	2148	32501
62	2181	32452
63	2215	32403
64	2248	32350
65	2284	32323
66	2316	32260
67	2334	31995
68	2366	31927
69	2396	31841
70	2429	31784
71	2462	31741
72	2495	31691
73	2528	31641
74	2562	31606
75	2584	31425
76	2610	31288
77	2640	31216
78	2672	31153
79	2701	31062
80	2732	30996
81	2763	30935
82	2793	30865
83	2810	30647
84	2841	30585
85	2871	30516
86	2882	30251
87	2911	30176
88	2934	30036
89	2964	29973
90	2994	29910
91	3025	29860
92	3045	29703
93	3074	29633
94	3082	29368
95	3108	29274
96	3140	29236
97	3172	29196
98	3203	29156
99	3232	29093
100	3263	29046
101	3295	29009
102	3325	28960
103	3358	28934
104	3370	28731
105	3398	28661
106	3411	28470
107	3440	28419
108	3449	28198
109	3463	28021
110	3492	27967
111	3521	27919
112	3547	27843
113	3576	27793
114	3588	27616
115	3605	27478
116	3617	27302
117	3643	27233
118	3673	27196
119	3706	27180
120	3735	27134
121	3765	27096
122	3796	27065
123	3827	27038
124	3861	27029
125	3889	26980
126	3919	26945
127	3941	26851
128	3963	26758
129	3995	26736
130	4007	26587
131	4037	26549
132	4067	26518
133	4109	26559
134	4136	26506
135	4153	26386
136	4181	26338
137	4197	26222
138	4228	26194
139	4256	26145
140	4287	26121
141	4312	26054
142	4342	26026
143	4372	25993
144	4404	25971
145	4434	25940
146	4465	25912
147	4496	25886
148	4520	25819
149	4550	25788
150	4562	25654
151	4570	25497
152	4590	25415
153	4621	25387
154	4652	25363
155	4683	25338
156	4713	25306
157	4744	25284
158	4760	25179
159	4790	25150
160	4819	25112
161	4847	25075
162	4875	25035
163	4905	25007
164	4936	24982
165	4966	24953
166	4998	24933
167	5031	24920
168	5075	24955
169	5110	24950
170	5143	24933
171	5162	24850
172	5194	24830
173	5224	24801
174	5259	24795
175	5290	24768
176	5320	24739
177	5351	24712
178	5386	24704
179	5421	24697
180	5454	24679
181	5486	24658
182	5520	24644
183	5553	24628
184	5585	24607
185	5618	24588
186	5648	24557
187	5679	24530
188	5711	24506
189	5744	24488
190	5778	24475
191	5813	24466
192	5844	24438
193	5859	24342
194	5892	24323
195	5925	24304
196	5957	24283
197	5997	24292
198	6030	24272
199	6062	24251
200	6086	24194
201	6120	24179
202	6157	24175
203	6189	24150
204	6217	24113
205	6249	24089
206	6284	24075
207	6316	24049
208	6347	24023
209	6377	23992
210	6409	23968
211	6441	23944
212	6474	23921
213	6506	23898
214	6535	23862
215	6565	23830
216	6597	23806
217	6629	23781
218	6660	23752
219	6689	23715
220	6722	23697
221	6756	23676
222	6789	23657
223	6822	23636
224	6866	23652
225	6901	23635
226	6934	23613
227	6968	23596
228	7002	23574
229	7034	23551
230	7068	23529
231	7092	23479
232	7123	23449
233	7154	23421
234	7186	23393
235	7218	23369
236	7252	23349
237	7283	23318
238	7314	23290
239	7348	23270
240	7380	23242
241	7410	23211
242	7443	23187
243	7472	23152
244	7502	23119
245	7535	23096
246	7567	23069
247	7597	23037
248	7632	23019
249	7666	22999
250	7698	22973
251	7728	22940
252	7760	22914
253	7791	22884
254	7820	22848
255	7852	22820
256	7883	22791
257	7925	22794
258	7960	22775
259	7992	22748
260	8021	22711
261	8050	22677
262	8082	22650
263	8111	22612
264	8144	22590
265	8174	22557
266	8206	22528
267	8228	22475
268	8264	22459
269	8301	22443
270	8322	22386
271	8359	22374
272	8397	22363
273	8437	22355
274	8508	22431
275	8562	22460
276	8597	22440
277	8633	22422
278	8671	22408
279	8703	22379
280	8727	22330
281	8762	22311
282	8793	22279
283	8843	22296
284	8886	22295
285	8919	22266
286	8951	22238
287	8987	22219
288	9022	22197
289	9057	22174
290	9111	22199
291	9150	22186
292	9202	22206
293	9242	22195
294	9286	22193
295	9326	22181
296	9361	22157
297	9396	22135
298	9434	22118
299	9469	22096
300	9506	22077
301	9543	22057
302	9577	22030
303	9609	22001
304	9634	21953
305	9663	21916
306	9686	21865
307	9721	21842
308	9756	21817
309	9788	21787
310	9822	21761
311	9857	21736
312	9891	21710
313	9928	21690
314	9965	21670
315	9999	21645
316	10026	21602
317	10050	21554
318	10100	21563
319	10137	21543
320	10198	21573
321	10239	21560
322	10281	21550
323	10321	21535
324	10363	21524
325	10398	21498
326	10440	21487
327	10482	21475
328	10525	21466
329	10564	21449
330	10598	21421
331	10634	21398
332	10673	21379
333	10711	21358
334	10747	21334
335	10781	21306
336	10818	21282
337	10855	21261
338	10888	21231
339	10918	21194
340	10947	21156
341	10977	21121
342	11009	21087
343	11041	21055
344	11071	21020
345	11102	20985
346	11163	21007
347	11204	20991
348	11252	20989
349	11288	20963
350	11320	20931
351	11355	20903
352	11391	20879
353	11423	20846
354	11455	20813
355	11490	20786
356	11525	20758
357	11559	20729
358	11592	20699
359	11625	20666
360	11688	20689
361	11719	20654
362	11752	20622
363	11784	20590
364	11816	20556
365	11848	20523
366	11879	20489
367	11913	20459
368	11946	20428
369	11978	20395
370	12011	20364
371	12044	20333
372	12092	20327
373	12125	20295
374	12146	20243
375	12180	20215
376	12211	20179
377	12236	20135
378	12267	20099
379	12298	20066
380	12329	20030
381	12362	20000
382	12408	19989
383	12508	20065
384	12544	20039
385	12582	20014
386	12621	19992
387	12659	19968
388	12703	19953
389	12734	19917
390	12764	19881
391	12796	19847
392	12825	19809
393	12855	19773
394	12885	19735
395	12916	19700
396	12946	19664
397	12980	19634
398	13018	19609
399	13058	19587
400	13102	19572
401	13139	19546
402	13183	19529
403	13227	19513
404	13266	19491
405	13304	19464
406	13344	19442
407	13386	19422
408	13429	19405
409	13466	19379
410	13507	19356
411	13552	19341
412	13589	19314
413	13624	19285
414	13663	19259
415	13700	19233
416	13735	19203
417	13772	19175
418	13806	19144
419	13840	19112
420	13874	19082
421	13908	19050
422	13940	19016
423	13971	18980
424	14002	18944
425	14033	18908
426	14063	18872
427	14093	18835
428	14123	18798
429	14152	18760
430	14181	18721
431	14217	18693
432	14249	18659
433	14283	18627
434	14321	18601
435	14354	18569
436	14385	18533
437	14417	18498
438	14448	18463
439	14479	18428
440	14508	18391
441	14539	18354
442	14573	18323
443	14607	18292
444	14636	18254
445	14666	18218
446	14704	18191
447	14740	18162
448	14781	18139
449	14820	18114
450	14856	18084
451	14887	18049
452	14923	18020
453	14960	17991
454	14994	17960
455	15033	17935
456	15071	17907
457	15113	17885
458	15153	17860
459	15190	17832
460	15231	17809
461	15273	17785
462	15308	17755
463	15346	17727
464	15385	17701
465	15423	17673
466	15461	17646
467	15503	17623
468	15541	17595
469	15576	17564
470	15611	17533
471	15651	17508
472	15689	17480
473	15727	17453
474	15767	17427
475	15801	17394
476	15837	17364
477	15875	17336
478	15912	17307
479	15951	17280
480	15990	17254
481	16029	17227
482	16066	17197
483	16101	17165
484	16136	17134
485	16172	17104
486	16214	17080
487	16251	17050
488	16285	17018
489	16320	16986
490	16354	16954
491	16404	16938
492	16445	16912
493	16477	16877
494	16515	16849
495	16554	16821
496	16592	16792
497	16632	16765
498	16669	16735
499	16704	16704
500	16737	16670
501	16768	16634
502	16806	16606
503	16844	16577
504	16875	16541
505	16908	16507
506	16936	16469
507	16966	16432
508	16994	16393
509	17023	16356
510	17051	16317
511	17083	16282
512	17115	16248
513	17147	16213
514	17179	16178
515	17211	16144
516	17241	16107
517	17272	16072
518	17303	16036
519	17333	16000
520	17365	15965
521	17397	15930
522	17427	15894
523	17460	15860
524	17507	15840
525	17549	15814
526	17590	15788
527	17625	15755
528	17657	15721
529	17690	15687
530	17724	15654
531	17756	15620
532	17787	15584
533	17817	15548
534	17846	15511
535	17878	15476
536	17907	15439
537	17940	15405
538	17972	15372
539	18005	15337
540	18038	15304
541	18070	15269
542	18101	15234
543	18133	15200
544	18164	15165
545	18200	15133
546	18237	15103
547	18273	15072
548	18304	15037
549	18334	15001
550	18366	14966
551	18397	14931
552	18428	14895
553	18461	14862
554	18495	14829
555	18528	14796
556	18560	14761
557	18590	14725
558	18624	14692
559	18655	14658
560	18688	14624
561	18718	14588
562	18750	14553
563	18782	14519
564	18812	14483
565	18844	14449
566	18876	14415
567	18931	14398
568	18966	14366
569	19001	14334
570	19035	14301
571	19068	14267
572	19100	14233
573	19132	14199
574	19162	14163
575	19195	14130
576	19226	14095
577	19256	14059
578	19288	14024
579	19321	13991
580	19352	13956
581	19384	13922
582	19415	13887
583	19445	13851
584	19473	13814
585	19511	13784
586	19542	13749
587	19573	13714
588	19601	13678
589	19635	13644
590	19669	13612
591	19699	13576
592	19731	13542
593	19761	13506
594	19795	13474
595	19828	13440
596	19860	13406
597	19892	13372
598	19920	13336
599	19952	13301
600	19986	13268
601	20018	13234
602	20051	13201
603	20084	13167
604	20117	13134
605	20147	13099
606	20182	13067
607	20218	13035
608	20252	13002
609	20285	12969
610	20317	12935
611	20350	12902
612	20383	12868
613	20418	12836
614	20450	12802
615	20483	12769
616	20515	12735
617	20548	12701
618	20634	12701
619	20669	12668
620	20700	12633
621	20729	12597
622	20758	12561
623	20790	12527
624	20820	12492
625	20855	12460
626	20887	12426
627	20918	12390
628	20949	12356
629	20982	12323
630	21017	12290
631	21049	12256
632	21081	12222
633	21113	12188
634	21146	12154
635	21179	12121
636	21212	12087
637	21243	12053
638	21321	12045
639	21355	12012
640	21388	11978
641	21421	11945
642	21454	11911
643	21486	11877
644	21514	11841
645	21549	11808
646	21581	11774
647	21616	11742
648	21651	11709
649	21685	11676
650	21728	11648
651	21761	11614
652	21792	11580
653	21826	11547
654	21861	11514
655	21901	11485
656	21940	11454
657	21975	11421
658	22009	11389
659	22044	11356
